,Open time,Date,Open,High,Low,Close,Volume
1149,1531424760000,2018-07-12_19:46:00,6167.52,6189.59,6070.0,6127.41,4339.9414799999995
1150,1531439160000,2018-07-12_23:46:00,6126.5,6310.0,6122.22,6248.15,6561.411837999998
1151,1531453560000,2018-07-13_03:46:00,6249.99,6350.0,6211.58,6248.23,3246.645077000001
1152,1531467960000,2018-07-13_07:46:00,6250.26,6260.0,6230.0,6245.88,4466.582864
1153,1531482360000,2018-07-13_11:46:00,6249.39,6295.0,6232.06,6253.83,3695.9846720000005
1154,1531496760000,2018-07-13_15:46:00,6253.27,6347.38,6161.59,6181.0,4944.676370000006
1155,1531511160000,2018-07-13_19:46:00,6183.13,6240.0,6110.0,6206.18,4948.410037999997
1156,1531525560000,2018-07-13_23:46:00,6204.08,6280.0,6201.17,6213.98,2193.181715000001
1157,1531539960000,2018-07-14_03:46:00,6213.99,6233.08,6191.78,6218.95,2512.2946209999996
1158,1531554360000,2018-07-14_07:46:00,6219.97,6234.99,6178.0,6234.0,3196.4660789999994
1159,1531568760000,2018-07-14_11:46:00,6232.15,6252.89,6220.0,6240.0,2772.7782010000005
1160,1531583160000,2018-07-14_15:46:00,6238.28,6300.0,6206.12,6268.05,3295.747405999998
1161,1531597560000,2018-07-14_19:46:00,6269.92,6335.0,6205.0,6259.0,4025.330043999999
1162,1531611960000,2018-07-14_23:46:00,6258.92,6261.27,6225.4,6253.39,2684.868539999998
1163,1531626360000,2018-07-15_03:46:00,6250.01,6294.95,6245.0,6273.68,3635.906532999999
1164,1531640760000,2018-07-15_07:46:00,6274.81,6395.0,6271.2,6353.08,5121.607142000001
1165,1531655160000,2018-07-15_11:46:00,6356.5,6394.0,6329.0,6387.24,4311.833335000001
1166,1531669560000,2018-07-15_15:46:00,6385.83,6395.0,6340.0,6361.0,3995.9492860000005
1167,1531683960000,2018-07-15_19:46:00,6360.09,6388.0,6344.0,6349.51,3102.193088
1168,1531698360000,2018-07-15_23:46:00,6350.91,6383.85,6330.4,6356.99,4209.811721000001
1169,1531712760000,2018-07-16_03:46:00,6355.85,6389.67,6343.61,6371.1,3550.2608649999993
1170,1531727160000,2018-07-16_07:46:00,6373.62,6670.0,6362.02,6611.86,9777.563166000002
1171,1531741560000,2018-07-16_11:46:00,6622.0,6665.0,6579.99,6623.67,7637.871643000001
1172,1531755960000,2018-07-16_15:46:00,6623.17,6714.96,6615.0,6656.64,6607.697684999999
1173,1531770360000,2018-07-16_19:46:00,6651.23,6717.16,6644.09,6720.0,4185.952291000001
1174,1531784760000,2018-07-16_23:46:00,6712.88,6754.0,6685.66,6740.02,5704.279066000001
1175,1531799160000,2018-07-17_03:46:00,6740.02,6754.99,6652.04,6688.06,5941.032286999995
1176,1531813560000,2018-07-17_07:46:00,6691.9,6734.99,6688.0,6702.72,4870.942237000003
1177,1531827960000,2018-07-17_11:46:00,6703.01,6782.0,6667.72,6753.32,6041.418087000001
1178,1531842360000,2018-07-17_15:46:00,6749.99,7468.99,6728.84,7298.98,20638.239110000013
1179,1531856760000,2018-07-17_19:46:00,7303.03,7385.67,7272.0,7332.01,8981.886563000002
1180,1531871160000,2018-07-17_23:46:00,7326.97,7550.0,7309.64,7459.06,9878.827668000002
1181,1531885560000,2018-07-18_03:46:00,7460.02,7480.55,7399.0,7419.22,7657.153075000002
1182,1531899960000,2018-07-18_07:46:00,7420.07,7440.0,7310.48,7413.56,7693.471351000002
1183,1531914360000,2018-07-18_11:46:00,7424.33,7531.3,7360.4,7428.97,10066.169114000006
1184,1531928760000,2018-07-18_15:46:00,7426.07,7588.08,7336.13,7360.67,12899.144973999995
1185,1531943160000,2018-07-18_19:46:00,7364.77,7400.0,7225.38,7374.01,11168.532837000006
1186,1531957560000,2018-07-18_23:46:00,7374.95,7388.88,7270.0,7330.0,5754.777329
1187,1531971960000,2018-07-19_03:46:00,7330.0,7366.16,7306.0,7327.99,5051.249206000003
1188,1531986360000,2018-07-19_07:46:00,7331.05,7429.43,7291.37,7396.01,5885.2202
1189,1532000760000,2018-07-19_11:46:00,7394.13,7521.86,7378.96,7426.77,9742.078362000002
1190,1532015160000,2018-07-19_15:46:00,7414.26,7490.0,7352.0,7470.49,8713.431438999994
1191,1532029560000,2018-07-19_19:46:00,7467.83,7576.28,7414.14,7484.63,6414.591712
1192,1532043960000,2018-07-19_23:46:00,7484.96,7487.12,7367.0,7457.95,5537.339956000002
1193,1532058360000,2018-07-20_03:46:00,7454.94,7479.0,7336.66,7415.61,6430.961928999998
1194,1532072760000,2018-07-20_07:46:00,7426.09,7500.03,7409.67,7487.5,6246.494045000002
1195,1532087160000,2018-07-20_11:46:00,7487.97,7521.07,7436.4,7481.0,6548.825861999996
1196,1532101560000,2018-07-20_15:46:00,7473.05,7700.0,7273.0,7337.79,16132.986748999998
1197,1532115960000,2018-07-20_19:46:00,7334.92,7373.93,7280.0,7326.17,5152.002968
1198,1532130360000,2018-07-20_23:46:00,7331.0,7340.0,7211.0,7285.53,6764.204020999997
1199,1532144760000,2018-07-21_03:46:00,7287.72,7359.63,7255.93,7330.0,4667.986245000001
1200,1532159160000,2018-07-21_07:46:00,7336.02,7350.0,7288.22,7309.36,3829.3654510000015
1201,1532173560000,2018-07-21_11:46:00,7304.81,7415.1,7297.44,7398.0,5090.786443000001
1202,1532187960000,2018-07-21_15:46:00,7400.0,7447.0,7379.13,7407.99,4983.553502999997
1203,1532202360000,2018-07-21_19:46:00,7403.58,7458.47,7396.08,7414.99,3577.369856000003
